name,lat,lon,2011_03,2011_04,2011_05,2011_06,2011_07,2011_08,2011_09,2011_10,2011_11,2011_12,2012_01,2012_02,2012_03
天栄村 役場,37.255424,140.247192,2.8245833333333334,1.2786666666666666,1.0450000000000002,0.9508333333333334,0.8696774193548388,0.7749999999999999,0.7446666666666667,0.7056451612903226,0.7128333333333334,0.6812903225806451,0.5938709677419355,0.5465517241379311,0.4916129032258065
小名浜 藤原埠頭,37.286922,140.626282,0.75625,0.23254237288135593,0.13147540983606557,0.11349999999999999,0.1080327868852459,0.11081967213114753,0.10866666666666668,0.10935483870967742,0.109,0.10483870967741936,0.10580645161290324,0.10196428571428572,0.10016129032258064
小野町 役場,37.286922,140.626282,0.37448275862068964,0.159,0.1293548387096774,0.11883333333333333,0.10596774193548388,0.10048387096774195,0.09533333333333333,0.09645161290322582,0.09733333333333333,0.09451612903225808,0.0914516129032258,0.0903448275862069,0.08870967741935484
川俣町 山木屋 郵便局,37.590488,140.678711,7.497142857142857,3.0837499999999998,,,,,,,,,,,
川俣町 役場,37.66507,140.598297,2.9116666666666666,1.0710000000000002,0.6846774193548387,0.6268333333333334,0.572741935483871,0.5396774193548387,0.5232203389830509,0.67,0.6839999999999999,0.6535483870967742,0.5888709677419355,0.5639655172413793,0.5437096774193548
平田村 役場,37.221985,140.575653,0.3458333333333334,0.20983333333333334,0.2009677419354839,0.18033333333333335,0.16548387096774192,0.15693548387096776,0.153,0.15661290322580645,0.15866666666666665,0.15451612903225806,0.1464516129032258,0.13827586206896553,0.13258064516129034
新地町 役場,37.876324,140.919617,0.5545,0.33416666666666667,0.2482258064516129,0.22383333333333333,0.20274193548387098,0.18806451612903227,0.17700000000000002,0.17209677419354838,0.16783333333333333,0.16580645161290325,0.16112903225806452,0.1520689655172414,0.14596774193548387
昭和村 役場,37.335464,139.610687,0.2608333333333333,0.146,0.12612903225806452,0.114,0.10827586206896553,0.10580645161290324,0.09933333333333333,0.10064516129032258,0.10266666666666667,0.09451612903225808,0.07838709677419356,0.07758620689655173,0.07612903225806453
本宮 市役所,37.513176,140.393875,4.106333333333334,1.4006666666666667,0.8562903225806452,0.8053571428571429,,,,,,,,,
本宮市役所 旧白沢 総合支所,37.513176,140.393875,,,,,,,0.6131666666666666,0.7356451612903225,0.7515000000000001,0.7375806451612903,0.6777419354838708,0.6324137931034483,0.604516129032258
本宮市役所 旧白沢総合支所,37.513176,140.393875,,,,0.9036666666666666,0.7820967741935484,0.6770967741935483,,,,,,,
本宮市役所 白沢総合支所,37.513176,140.393875,,,,0.8196875,0.6788709677419356,0.582741935483871,0.5113333333333333,0.6101612903225806,0.6008333333333333,0.5816129032258064,0.537741935483871,0.4872413793103448,0.47258064516129034
柳津町 役場,37.526062,139.719604,0.35250000000000004,0.17633333333333334,0.1638709677419355,0.153,0.13548387096774195,0.1264516129032258,0.126,0.12322580645161291,0.11699999999999999,0.11032258064516129,0.1,0.09206896551724138,0.09548387096774194
棚倉町 役場,37.029892,140.379669,0.7766666666666667,0.402,0.3229032258064516,0.32433333333333336,0.26806451612903226,0.2543548387096774,0.24366666666666664,0.23774193548387096,0.235,0.23080645161290322,0.22096774193548388,0.19793103448275862,0.19096774193548388
檜枝岐村 役場,37.024166,139.388962,0.10090909090909092,0.093,0.10080645161290322,0.098,0.09241379310344829,0.0852542372881356,0.08183333333333334,0.06983870967741936,0.07200000000000001,0.0678688524590164,0.0817741935483871,0.08517241379310346,0.08870967741935484
泉崎村 役場,37.153801,140.303345,1.3691666666666666,0.6706666666666667,0.5343548387096775,0.5806666666666668,0.5411290322580646,0.5053225806451613,0.49,0.4796774193548387,0.4643333333333333,0.4656451612903226,0.4596774193548387,0.4362068965517242,0.41451612903225804
浅川町 役場,37.080986,140.412827,0.39875,0.22283333333333336,0.2046774193548387,0.18383333333333332,0.1717741935483871,0.16306451612903225,0.15583333333333332,0.15048387096774193,0.1555,0.14725806451612905,0.13661290322580646,0.13431034482758622,0.12967741935483873
湯川村 公民館,37.565273,139.886871,0.7141666666666667,0.31966666666666665,0.23032258064516128,0.2,0.17580645161290323,0.1664516129032258,0.15533333333333335,0.14903225806451614,0.14666666666666667,0.1406451612903226,0.12870967741935485,0.11034482758620691,0.1167741935483871
猪苗代町 役場,37.557777,140.104736,0.31083333333333335,0.179,0.15290322580645163,0.14533333333333334,0.13709677419354838,0.13193548387096773,0.12866666666666665,0.12548387096774194,0.12566666666666668,0.1167741935483871,0.10580645161290324,0.1003448275862069,0.09838709677419356
玉川村 役場,37.210728,140.409027,0.37916666666666665,0.221,0.19806451612903225,0.18266666666666667,0.17758064516129032,0.16370967741935485,0.15616666666666665,0.15096774193548387,0.1545,0.15338709677419354,0.1396774193548387,0.13913793103448277,0.13016129032258064
白河市役所 大信庁舎,37.126343,140.210953,,,,0.8418333333333333,0.7541935483870967,0.690483870967742,0.6705000000000001,0.6411290322580645,0.6330000000000001,0.6120967741935485,0.5693548387096774,0.5191379310344828,0.455
白河市役所 東庁舎,37.126343,140.210953,,,,0.27016666666666667,0.25661290322580643,0.24241935483870966,0.23233333333333334,0.22564516129032258,0.2255,0.21758064516129033,0.21370967741935484,0.20810344827586208,0.19870967741935483
白河市役所 表郷庁舎,37.126343,140.210953,,,,0.2886666666666667,0.26629032258064517,0.24806451612903227,0.24183333333333332,0.23370967741935483,0.23016666666666669,0.22661290322580646,0.22129032258064518,0.1920689655172414,0.18693548387096773
相馬 市役所,37.79726,140.91893,1.145,0.4703333333333333,0.3553225806451613,0.26183333333333336,0.22580645161290322,0.20870967741935484,0.19749999999999998,0.18854838709677418,0.18633333333333332,0.18564516129032257,0.17935483870967742,0.16706896551724137,0.15596774193548388
相馬市山上 公民館,37.770828,140.82605,,,,0.3656666666666667,0.32903225806451614,0.30403225806451617,0.2916666666666667,0.2862903225806452,0.2773333333333333,0.2703225806451613,0.25612903225806455,0.24672413793103448,0.23306451612903226
相馬市役所 玉野出張所,37.79726,140.91893,,,,1.5586666666666666,1.322741935483871,1.2574137931034484,1.218813559322034,1.1901612903225804,1.1658333333333333,1.104516129032258,0.8626229508196721,0.6967241379310344,0.7141935483870968
相馬港2号 埠頭,37.79726,140.91893,,,,0.19516666666666668,0.17838709677419357,0.17311475409836066,0.1645,0.1546774193548387,0.14666666666666667,0.14612903225806453,0.1403225806451613,0.12,0.10903225806451612
矢吹町 役場,37.201244,140.338638,0.8175,0.4076666666666667,0.31870967741935485,0.32966666666666666,0.3109677419354839,0.29403225806451616,0.28500000000000003,0.2767741935483871,0.25016666666666665,0.25,0.23193548387096777,0.23448275862068965,0.2414516129032258
矢祭町 役場,36.871326,140.424789,0.1729166666666667,0.14466666666666667,0.13435483870967743,0.11933333333333333,0.11516129032258064,0.11081967213114753,0.11016666666666668,0.10983870967741936,0.10833333333333334,0.10290322580645161,0.1017741935483871,0.1,0.1017741935483871
石川町 役場,37.157085,140.446716,0.36642857142857144,0.16633333333333333,0.14758064516129032,0.13316666666666668,0.12161290322580645,0.11467741935483872,0.1105,0.10419354838709677,0.11016666666666668,0.1067741935483871,0.1032258064516129,0.10137931034482758,0.09693548387096775
磐梯町 役場,37.562065,139.988663,0.46,0.23133333333333334,0.2009677419354839,0.202,0.1867741935483871,0.1735483870967742,0.16166666666666668,0.1570967741935484,0.15766666666666668,0.14225806451612905,0.12225806451612903,0.11,0.12806451612903227
福島 市役所,37.76083,140.474747,5.472666666666667,1.6488333333333334,1.3898387096774194,1.056,0.9958064516129033,0.957741935483871,0.9118333333333334,1.1061290322580646,1.1476666666666666,1.1220967741935486,1.0659677419354838,1.04,1.0037096774193548
福島北警察署桑折分庁舎 (桑折町),37.854652,140.520798,3.7378571428571425,1.2293333333333334,0.9854838709677419,0.9266666666666666,0.8562903225806452,0.8410169491525423,0.8353333333333333,0.8238709677419355,0.8091666666666667,0.7737096774193548,0.7083870967741935,0.6525862068965518,0.6006451612903226
福島県農業 総合センター,37.76083,140.474747,,,,1.2711666666666666,1.1283870967741934,1.0269354838709677,0.9808474576271186,0.9774193548387097,0.9811666666666666,0.9019672131147541,0.8406451612903225,0.771896551724138,0.7477419354838709
福島県農業総合センター,37.76083,140.474747,2.3716666666666666,1.607,1.369032258064516,,,,,,,,,,
福島西 IC,37.76083,140.474747,3.1613333333333333,1.0550000000000002,0.8440322580645161,0.602,0.5670967741935484,0.5376271186440678,0.513,0.49,0.4708333333333333,0.4761290322580645,0.38870967741935486,0.3127586206896552,0.3014516129032258
