name,lat,lon,2023_08_01,2023_08_02,2023_08_03,2023_08_04,2023_08_05,2023_08_06,2023_08_07,2023_08_08,2023_08_09,2023_08_10,2023_08_11,2023_08_12,2023_08_13,2023_08_14,2023_08_15,2023_08_16,2023_08_17,2023_08_18,2023_08_19,2023_08_20
p_37.109058_140.221117,37.109058,140.221117,,,,,,,,,,,,,0.12857142857142856,,,,,,,
p_37.109220_140.220630,37.10922,140.22063,,,,,,,,,,,,,0.12857142857142856,,,,,,,
p_37.109268_140.211568,37.109268,140.211568,,,,,,,,,,,,,0.14,,,,,,,
p_37.109298_140.220492,37.109298,140.220492,,,,,,,,,,,,,0.13714285714285715,,,,,,,
p_37.109512_140.220330,37.109512,140.22033,,,,,,,,,,,,,0.14285714285714285,,,,,,,
p_37.109567_140.211087,37.109567,140.211087,,,,,,,,,,,,,0.12571428571428572,,,,,,,
p_37.109800_140.220110,37.1098,140.22011,,,,,,,,,,,,,0.14285714285714285,,,,,,,
p_37.109850_140.210610,37.10985,140.21061,,,,,,,,,,,,,0.12571428571428572,,,,,,,
p_37.110045_140.216583,37.110045,140.216583,,,,,,,,,,,,,0.08,,,,,,,
p_37.110078_140.219817,37.110078,140.219817,,,,,,,,,,,,,0.14857142857142858,,,,,,,
p_37.110103_140.216980,37.110103,140.21698,,,,,,,,,,,,,0.08571428571428572,,,,,,,
p_37.110138_140.216270,37.110138,140.21627,,,,,,,,,,,,,0.09714285714285714,,,,,,,
p_37.110157_140.210062,37.110157,140.210062,,,,,,,,,,,,,0.12857142857142856,,,,,,,
p_37.110277_140.219472,37.110277,140.219472,,,,,,,,,,,,,0.13714285714285715,,,,,,,
p_37.110320_140.219658,37.11032,140.219658,,,,,,,,,,,,,0.10285714285714286,,,,,,,
p_37.110333_140.219670,37.110333,140.21967,,,,,,,,,,,,,0.11142857142857143,,,,,,,
p_37.110340_140.219672,37.11034,140.219672,,,,,,,,,,,,,0.10571428571428572,,,,,,,
p_37.110340_140.219673,37.11034,140.219673,,,,,,,,,,,,,0.12714285714285714,,,,,,,
p_37.110340_140.219675,37.11034,140.219675,,,,,,,,,,,,,0.1442857142857143,,,,,,,
p_37.110342_140.219673,37.110342,140.219673,,,,,,,,,,,,,0.12571428571428572,,,,,,,
p_37.110342_140.219675,37.110342,140.219675,,,,,,,,,,,,,0.13142857142857142,,,,,,,
p_37.110343_140.219673,37.110343,140.219673,,,,,,,,,,,,,0.10444444444444444,,,,,,,
p_37.110345_140.219668,37.110345,140.219668,,,,,,,,,,,,,0.13142857142857142,,,,,,,
p_37.110345_140.219673,37.110345,140.219673,,,,,,,,,,,,,0.15714285714285714,,,,,,,
p_37.110345_140.219675,37.110345,140.219675,,,,,,,,,,,,,0.1457142857142857,,,,,,,
p_37.110347_140.219542,37.110347,140.219542,,,,,,,,,,,,,0.11428571428571428,,,,,,,
