県北地方　環境放射能測定結果（暫定値）,,,,（平成23年3月17日～31日）,,,,,,,,モニタリング２－１(県北),,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,単位：μGy/h≒μSv/ｈ（ﾏｲｸﾛｸﾞﾚｲ/時間≒ﾏｲｸﾛｼｰﾍﾞﾙﾄ/時間）,,
,,"国見町
役場","福島北警察署桑折分庁舎
(桑折町)","伊達
市役所","農業総合センター
果樹研究所
(福島市)","福島
市役所","福島西
IC","ふくしま自治研修センター
(福島市)","川俣町
役場","二本松
市役所","二本松市
東和支所","川俣町
山木屋
郵便局","大玉村
役場","本宮
市役所",,
福島第一原発からの方向及び距離,,"北西
3月31日,,(10時27分),(10時16分),(10時47分),(9時52分),(11時19分),(9時10分),(9時23分),(9時43分),(9時07分),(10時25分),(10時03分),(11時15分),(11時05分),,
(木),2回目,1.09,1.97,2.05,1.54,2.61,1.84,0.63,1.69,2.7,1.64,4.47,1.62,2.11,,
,,(14時49分),(14時40分),(15時07分),(14時18分),(15時40分),(13時38分),(13時51分),(13時48分),(13時13分),(14時31分),(14時10分),(15時20分),(15時10分),,
"※留意点１　これまでの定点での測定値に加え、環境放射能測定値の高い地域周辺を移動して測定した結果です。
※留意点２　測定装置は全てサーベイメータです。",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
県中地方　環境放射能測定結果（暫定値）,,,,（平成23年3月17日～31日）,,,,,,,,,,モニタリング２－２(県中),,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,単位：μGy/h≒μSv/ｈ（ﾏｲｸﾛｸﾞﾚｲ/時間≒ﾏｲｸﾛｼｰﾍﾞﾙﾄ/時間）
,,"三春町
役場",郡山市役所,福島県農業総合センター,ビッグパレットふくしま,郡山市立田母神小学校,郡山市逢瀬行政センター,"須賀川
市役所","小野町
役場","石川町
役場","古殿町
役場","鏡石町
役場","天栄村
役場","玉川村
役場","浅川町
役場","平田村
役場"
福島第一原発からの方向及び距離,,"西
約４８Km","西
約６０km","西
約５７km","西
約５８km","西南西
約４６km","西
約６８km","西南西
約６０Km","西南西
約３９Km","西南西
約６０Km","南西
約５６Km","西南西
約６４Km","西南西
約７２Km","西南西
約６０Km","南西
約６７Km","西南西
約４７Km"
3月17日(木),1回目,"2.33
(18時13分)",,,,,,,"0.94
(18時53分)",,,,,,,
,2回目,"2.58
(19時45分)",,,,,,,,,,,,,,
3月18日(金),1回目,"2.34
(12時31分)",,,,,,"1.96
(11時50分)","0.87
(14時40分)","0.75
(12時40分)","0.90
(13時05分)",,,,,
,2回目,"2.24
(13時04分)",,,,,,"1.28
(17時45分)","0.98
(15時15分)","0.70
(17時10分)","0.76
(16時15分)",,,,,
3月19日(土),1回目,"2.39
(12時00分)",,,,,,"1.02
(10時58分)","0.71
(13時43分)","0.60
(11時42分)","0.68
(12時55分)",,,,,
,2回目,"2.26
(12時45分)",,,,,,"1.24
(16時47分)","0.77
(14時20分)","0.65
(16時00分)","0.73
(15時07分)",,,,,
3月20日(日),1回目,"1.36
(11時51分)",,,,,,"0.98
(10時25分)","0.76
(12時55分)","0.66
(11時08分)","0.91
(12時00分)","1.42
(10時12分)","5.50
(10時43分)","0.62
(11時45分)","0.80
(12時20分)","0.69
(13時36分)"
,2回目,"1.41
(12時41分)",,,,,,"0.95
(13時59分)","0.68
(16時13分)","0.53
(14時35分)","0.80
(15時20分)","1.43
(16時56分)","5.36
(16時32分)","0.61
(17時16分)","0.80
(17時48分)","0.78
(18時28分)"
3月21日(月),1回目,"0.94
（14時06分）",,,,,,"0.96
（12時54分）","0.30
(13時25分）","0.36
(10時57分）","0.40
（12時13分）","1.08
（11時54分）","4.51
（12時18分）","0.51
（11時30分）","0.42
（11時28分）","0.47
(12時52分)"
,2回目,"0.93
（14時42分）",,,,,,"0.82
（16時40分）","0.28
（15時33分）","0.36
(13時49分）","0.36
（16時50分）","1.03
（15時40分）","4.44
（16時02分）","0.47
（14時11分）","0.60
（14時52分）","0.42
（16時04分）"
3月22日(火),1回目,"0.89
（9時36分）",,,,,,"0.83
（9時30分）","0.30
（10時22分）","0.40
（11時10分）","0.38
（11時26分）","0.92
（9時49分）","3.09
（10時09分）","0.47
（10時50分）","0.63
（11時35分）","0.40
（10時51分）"
,2回目,"0.90
（12時58分）",,,,,,"0.79
（12時24分）","0.30
（13時40分）","0.38
(15時17分）","0.38
（14時36分）","0.91
（14時30分","3.60
（14時06分）","0.46
（14時56分）","0.59
（15時40分）","0.38
（14時04分）"
3月23日(水),1回目,"0.82
（9時27分）",,,,,,"0.72
（9時46分）","0.27
（10時09分）","0.36
（11時32分）","0.35
（11時01分）","0.77
（10時14分）","3.30
（10時36分）","0.41
（11時12分）","0.42
（11時39分）","0.36
（10時32分）"
,2回目,"0.80
（13時37分）",,,,,,"0.76
（12時33分）","0.29
（14時12分）","0.38
（14時28分）","0.39
（15時08分）","0.90
（12時56分）","3.18
（13時25分）","0.44
（14時06分）","0.53
（15時11分）","0.38
（14時37分）"
3月24日(木),1回目,"0.70
(9時15分)",,,,,,"0.67
(9時30分)","0.27
(9時56分)","0.32
(11時14分)","0.31
(10時54分)","0.75
(9時53分)","3.00
(10時13分)","0.39
(10時55分)","0.37
(11時39分)","0.31
(10時23分)"
,2回目,"0.71
(13時10分)",,,,,,"0.61
(13時06分)","0.25
(14時03分)","0.30
(14時54分)","0.32
(14時57分)","0.68
(13時25分)","2.79
(13時53分)","0.35
(14時31分)","0.38
(15時30分)","0.33
(14時27分)"
"3月25日
(金)",1回目,"0.67
(9時29分)","3.29
(9時00分)",,,,,"0.62
(9時39分)","0.25
(10時15分)","0.30
(11時22分)","0.31
(11時23分)","0.65
(10時00分)","2.63
(10時22分)","0.35
(11時00分)","0.35
(11時54分)","0.32
(10時54分)"
,2回目,"0.67
(13時37分)","3.11
(15時44分)",,,,,"0.63
(12時53分)","0.27
(14時11分)","0.31
(14時34分)","0.32
(15時04分)","0.80
(13時16分)","2.47
(13時39分)","0.37
(14時14分)","0.37
(15時35分)","0.33
(14時34分)"
"3月26日
(土)",1回目,"0.61
(9時24分)","2.98
(9時04分)",,,,,"0.57
(11時28分)","0.21
(10時01分)","0.34
(10時50分)","0.26
(10時55分)","0.67
(10時10分)","2.48
(9時44分)","0.35
(10時31分)","0.32
(11時26分)","0.31
(10時26分)"
,2回目,"0.66
(13時08分)","2.80
(14時52分)",,,,,"0.54
(13時38分)","0.25
(13時40分)","0.28
(12時37分)","0.28
(14時31分)","0.65
13時20分)","2.47
(14時06分)","0.35
(12時56分)","0.34
(15時00分)","0.32
(14時03分)"
"3月27日
(日)",1回目,"0.65
(9時07分)","2.65
(8時51分)",,,,,"0.50
(11時23分)","0.21
(9時43分)","0.27
(10時46分)","0.26
(10時38分)","0.60
(9時59分)","2.31
(9時35分)","0.31
(10時21分)","0.30
(11時06分)","0.31
(10時09分)"
,2回目,"0.61
(13時15分)","2.90
(15時25分)",,,,,"0.56
(14時06分)","0.21
(13時52分)","0.25
(12時59分)","0.27
(14時47分)","0.62
(13時42分)","2.38
(14時33分)","0.31
(13時18分)","0.27
(15時15分)","0.29
(14時15分)"
"3月28日
(月)",1回目,"0.59
(9時25分)","2.63
(8時57分)",,,,,"0.49
(11時31分)","0.21
(10時18分)","0.25
(10時50分)","0.24
(11時10分)","0.51
(10時05分)","1.93
(9時40分)","0.31
(10時28分)","0.28
(11時39分)","0.25
(10時40分)"
,2回目,"0.58
(13時25分)","2.50
(15時08分)",,,,,"0.47
(13時43分)","0.20
(13時58分)","0.22
(13時00分)","0.24
(14時49分)","0.51
(14時03分)","1.91
(14時23分)","0.30
(13時20分)","0.28
(15時18分)","0.25
(14時23分)"
3月29日（火）,1回目,"0.54
(9時11分)","2.57
(8時57分)","2.78
(9時55分)","1.61
(9時20分)","0.4
(10時00分)","1.1
(10時00分)","0.46
(11時26分)","0.19
(9時47分)","0.24
(10時52分)","0.23
(10時24分)","0.61
(10時07分)","1.82
(9時43分)","0.28
(10時28分)","0.26
(11時00分)","0.24
(10時06分)"
,2回目,"0.54
(13時27分)","2.47
(13時22分)","2.65
(14時24分)","1.49
(13時48分)","0.8
(16時00分)","1.2
(16時00分)","0.44
(14時02分)","0.18
(14時03分)","0.23
(13時05分)","0.28
(14時55分)","0.47
(13時44分)","1.76
(14時31分)","0.29
(13時22分)","0.26
(15時25分)","0.25
(14時26分)"
3月30日（水）,1回目,"0.52
(9時24分)","2.31
(9時00分)","2.61
(9時58分)","1.50
(9時27分)","0.5
(10時00分)","1.1
(10時00分)","0.47
(10時20分)","0.18
(10時05分)","0.21
(11時02分)","0.24
(11時05分)","0.52
(10時00分)","1.76
(9時34分)","0.30
(10時44分)","0.26
(11時37分)","0.23
(10時31分)"
,2回目,"0.51
(13時30分)","2.39
(13時13分)","2.46
(14時23分)","1.43
(13時43分)","1.0
(15時00分)","1.3
(15時00分)","0.42
(14時03分)","0.17
(14時08分)","0.21
(13時24分)","0.24
(15時07分)","0.49
(14時26分)","1.74
(14時47分)","0.31
(13時02分)","0.27
(15時38分)","0.23
(14時34分)"
,1回目,0.53,2.08,1.88,1.25,1,1,0.41,0.19,0.21,0.23,0.49,1.64,0.26,0.24,0.23
3月31日,,(9時35分),(9時31分),(9時06分),(9時10分),(9時00分),(9時00分),(11時48分),(10時08分),(11時14分),(10時59分),(10時32分),(10時10分),(10時53分),(11時29分),(10時30分)
(木),2回目,0.52,2.12,1.85,1.34,1,1.2,0.43,0.17,0.19,0.24,0.45,1.72,0.28,0.23,0.22
,,(14時01分),(15時42分),(13時35分),(16時08分),(15時00分),(15時00分),(14時12分),(14時33分),(13時26分),(15時25分),(14時31分),(14時52分),(13時49分),(15時52分),(14時57分)
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
県南地方　環境放射能測定結果（暫定値）,,,,（平成23年3月18日～31日）,,,モニタリング２－３(県南),,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,単位：μGy/h≒μSv/ｈ（ﾏｲｸﾛｸﾞﾚｲ/時間≒ﾏｲｸﾛｼｰﾍﾞﾙﾄ/時間）,,,,,,,
,,"鮫川村
役場","西郷村
役場","泉崎村
役場","中島村
役場","矢吹町
役場","棚倉町
役場","矢祭町
役場","塙町
役場",,,,,,,
福島第一原発からの方向及び距離,,"南西
約６３Km","西南西
約８４Km","西南西
約７２Km","西南西
約６８Km","西南西
約６６Km","南西
約７２Km","南西
約８２Km","南西
約７６Km",,,,,,,
3月18日(金),1回目,"0.83
(13時35分)",,,,,,,,,,,,,,
,2回目,"0.78
(16時40分)",,,,,,,,,,,,,,
3月19日(土),1回目,"0.64
(12時18分)",,,,,,,,,,,,,,
,2回目,"0.70
(15時27分)",,,,,,,,,,,,,,
3月20日(日),1回目,"0.80
(11時41分)","2.55
(9時55分)","2.20
(10時34分)","0.71
(11時30分)","1.27
(11時05分)","1.32
(14時16分)","0.21
(13時15分)","0.68
(13時40分)",,,,,,,
,2回目,"0.73
(15時02分)","2.54
(16時18分)","2.19
(16時49分)","0.60
(17時24分)","1.20
(17時08分)","1.30
(17時51分)","0.20
(18時21分)","0.60
(18時12分)",,,,,,,
3月21日(月),1回目,"0.41
（10時51分）","2.40
（8時54分）","1.90
（9時23分）","0.53
（10時06分）","1.10
（9時48分）","1.07
（12時18分）","0.20
(11時37分）","0.55
（11時56分）",,,,,,,
,2回目,"0.43
(16時00分）","2.20
（14時15分）","1.80
（14時43分）","0.53
（15時25分）","1.00
（15時07分）","1.10
（17時22分）","0.19
（16時44分）","0.54
（17時02分）",,,,,,,
3月22日(火),1回目,"0.48
(10時50分）","2.10
(9時00分）","1.90
(9時30分）","0.55
(10時12分）","1.10
(9時55分）","1.00
(12時23分）","0.23
(11時33分）","0.55
(12時02分）",,,,,,,
,2回目,"0.43
(16時25分）","2.00
（14時41分）","1.80
（15時10分","0.56
（15時50分","1.00
（15時33分）","1.00
(17時41分）","0.21
(17時04分)","0.55
(17時20分） ",,,,,,,
3月23日(水),1回目,"0.41
(10時48分）","2.00
(9時04分）","1.70
(9時35分）","0.54
(10時01分）","1.00
(9時55分）","0.90
(12時20分）","0.20
(11時29分）","0.50
(12時01分）",,,,,,,
,2回目,"0.38
(15時41分）","1.90
(14時00分）","1.60
(14時28分）","0.51
(15時04分）","0.90
(14時48分）","0.94
(17時12分）","0.19
(16時20分）","0.49
(16時41分）",,,,,,,
3月24日(木),1回目,"0.34
(11時17分)","1.80
(9時17分)","1.30
(9時54分)","0.44
(10時38分)","0.84
(10時21分)","0.76
(12時37分)","0.17
(11時59分)","0.45
(12時16分)",,,,,,,
,2回目,"0.37
(15時40分)","1.70
(13時47分)","1.40
(14時20分)","0.48
(15時04分)","0.89
(14時45分)","0.81
(17時31分)","0.18
(16時42分)","0.44
(16時59分)",,,,,,,
"3月25日
(金)",1回目,"0.30
(10時43分)","1.60
(8時52分)","1.30
(9時22分)","0.37
(10時07分)","0.77
(9時45分)","0.69
(12時15分)","0.16
(11時25分)","0.39
(11時53分)",,,,,,,
,2回目,"0.33
(15時30分)","1.50
(13時45分)","1.20
(14時17分)","0.39
(14時53分)","0.77
(14時38分)","0.70
(16時50分)","0.16
(16時07分)","0.40
(16時37分)",,,,,,,
"3月26日
(土)",1回目,"0.30
(10時15分)","1.20
(8時33分)","1.20
(9時01分)","0.37
(9時38分)","0.71
(9時23分)","0.67
(11時42分)","0.16
(10時51分)","0.38
(11時09分)",,,,,,,
,2回目,"0.32
(14時46分)","1.40
(13時11分)","1.30
(13時40分)","0.39
(14時12分)","0.76
(13時58分)","0.70
(16時12分)","0.17
(15時23分)","0.37
(15時51分)",,,,,,,
"3月27日
(日)",1回目,"0.29
(10時38分)","1.29
(8時56分)","1.17
(9時27分)","0.37
(9時56分)","0.73
(9時43分)","0.63
(11時54分)","0.16
(11時16分)","0.35
(11時35分)",,,,,,,
,2回目,"0.29
(15時16分)","1.34
(13時35分)","1.18
(14時03分)","0.36
(14時40分)","0.70
(14時24分)","0.67
(16時26分)","0.16
(15時51分)","0.38
(16時07分)",,,,,,,
"3月28日
(月)",1回目,"0.27
(11時05分)","1.20
(9時04分)","1.00
(9時38分)","0.33
(10時24分)","0.66
(10時05分)","0.59
(12時41分)","0.14
(11時55分)","0.35
(12時21分)",,,,,,,
,2回目,"0.29
(15時26分)","1.40
(13時41分)","1.10
(14時14分)","0.37
(14時49分)","0.66
(14時34分)","0.60
(16時49分)","0.16
(16時03分)","0.37
(16時29分)",,,,,,,
3月29日（火）,1回目,"0.26
(10時40分)","1.20
(8時52分)","1.20
(9時23分)","0.34
(10時03分)","0.65
(9時46分)","0.55
(11時55分)","0.14
(11時19分)","0.34
(11時35分)",,,,,,,
,2回目,"0.28
(15時07分)","1.20
(13時21分)","1.00
(13時53分)","0.37
(14時29分)","0.64
(14時12分)","0.56
(16時30分)","0.15
(15時44分)","0.36
(16時11分)",,,,,,,
3月30日（水）,1回目,"0.26
(11時08分)","1.10
(9時00分)","0.90
(9時37分)","0.33
(10時28分)","0.59
(10時10分)","0.52
(12時35分)","0.14
(11時49分)","0.33
(12時17分)",,,,,,,
,2回目,"0.30
(16時09分)","1.00
(14時03分)","0.80
(14時35分)","0.31
(15時21分)","0.59
(15時03分)","0.55
(17時50分)","0.17
(16時59分)","0.35
(17時25分)",,,,,,,
,1回目,0.26,1.1,0.87,0.29,0.54,0.48,0.15,0.35,,,,,,,
3月31日,,(10時55分),(8時52分),(9時30分),(10時17分),(9時58分),(12時22分),(11時38分),(11時58分),,,,,,,
(木),2回目,0.26,1,0.85,0.33,0.55,0.53,0.15,0.34,,,,,,,
,,(16時26分),(13時49分),(15時12分),(15時50分),(15時35分),(17時56分),(17時07分),(17時34分),,,,,,,
,,,,,,,,,,,,,,,,
"※留意点１　これまでの定点での測定値に加え、環境放射能測定値の高い地域周辺を移動して測定した結果です。　　　
※留意点２　測定装置は全てサーベイメータです。",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
会津地方　環境放射能測定結果（暫定値）,,,,（平成23年3月20日～31日）,,,,,,,モニタリング２－４(会津),,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,単位：μGy/h≒μSv/ｈ（ﾏｲｸﾛｸﾞﾚｲ/時間≒ﾏｲｸﾛｼｰﾍﾞﾙﾄ/時間）,,,
,,"喜多方
市役所","北塩原村
役場",野沢小学校（西会津町）,"磐梯町
役場","猪苗代町
役場",会津坂下町役場,"湯川村
公民館","柳津町
役場","三島町
役場","金山町
役場","昭和村
役場","会津美里町
役場高田支所",,,
福島第一原発からの方向及び距離,,"西北西
約１０５Km","西北西
約１００Km","西
約１２４Km","西
約９４Km","西
約８３Km","西
約１０８Km","西
約１０２Km","西
約１１７Km","西
約１２３Km","西
約１３３Km","西
約１２６Km","西
約１０５Km",,,
3月20日(日),1回目,"0.44
(12時27分)","0.71
(12時12分)","0.18
(13時47分)","0.72
(10時25分)","0.50
(10時50分)","0.75
(13時17分)","1.30
(12時54分)","0.63
(14時19分)","0.38
(14時39分)","0.31
(15時15分)","0.42
(16時00分)","0.53
(17時30分)",,,
,2回目,,,,,,,,,,,,,,,
3月21日(月),1回目,"0.38
（12時26分）","0.63
（12時06分）","0.18
(14時31分)","0.65
（11時25分）","0.52
（11時55分）","0.65
（13時54分）","1.06
（13時33分）","0.50
(15時04分)","0.31
(15時30分)","0.26
(16時01分)","0.35
(16時35分)","0.40
(18時15分)",,,
,2回目,,,,,,,,,,,,,,,
